name,day,month,year,date,rating,comment,detailedReview
ash,11,July,2019,July 2019,5,Good Product,Better price and offer.. Much better that CornFlaks..
sulekha,11,July,2019,July 2019,5,Yogabar multigrain,Nice flavor and healthy combo for breakfast for kids
Deep mantala,11,July,2019,July 2019,5,Its delicious and healthy,I really like this product. This multi grain and musli flavor serial is very healthy. My body feel very energetic after eating this in morning. Value you for money And soon i wanna try their yoga bars as well.
Neha,12,July,2019,July 2019,5,Worth every penny,Worth every penny
Asghar Ali Khan,13,July,2019,July 2019,5,Yummy n healthy !,"Taste is amazinggg. Best cereal ever! V nutritious n healthy . It has fruits n nuts n diff types of seeds which are vvvvv healthy . I love it with cold milk .
The box looks so pretty ."
Raghav Mehta,14,July,2019,July 2019,5,Healthy Breakfast,"It is a glorious blend of rolled and toasted whole grain flakes with raisins, apricots, cranberries, pumpkin seeds and nuts. Made from 100 percent natural ingredients. Really loved the taste. One of the best muesli I've ever tasted. It taste so good. Perfect for breakfast. I usually ate this with warm milk. Totally worth buying it..."
Rashmi,14,July,2019,July 2019,3,Too much sweet components,"There is too much sweet components in here. You do get all kinda nuts and seeds, which is a good thing."
KB Jashi,15,July,2019,July 2019,3,Yogabar Muesli,Very good
Raj Kamal Chandna,16,July,2019,July 2019,4,good breakfast option,"Product is good and easy to prepare, packing is good and hygienic. Only drawback is that it is slightly overpriced, otherwise nice option for eating healthy."
Tushar,16,July,2019,July 2019,5,Healthy and testy,"Its a healthy day starter, every bite has delecious flavour if we mix it with milk. I eat this corn flakes on regular thus I love it very much.
its also ok because in this money we get the benefit of dry fruits and seeds .
I started giving this to my kids as it is easy to make and consume plus they love the taste. Worth every penny spent..."
mb,16,July,2019,July 2019,5,Really liked it,This was a wonderful surprise in terms of content and taste in comparison to what I see in local shops. Thank you Amazon for bringing this product to my notice via your mailers. I will definitely try out their other variants too.
Ruchi,16,July,2019,July 2019,5,Amazing,It's good for health
pavan,16,July,2019,July 2019,5,Best Muesli,Best muesli out of all available in market
Sapna sahi,17,July,2019,July 2019,1,The taste is pathetic..,Omg the worst meusli... I bought the packet and tasted it . The taste was so bad I couldn't finish my bowl. Now it's lying in my kitchen and idk what to do with it
Lavina,17,July,2019,July 2019,5,Rich and healthy,"I have ordered this to make quick break fast to my Morning schedule. Its amazing filled with lots of nuts and seeds like flex seeds, pumpkin seeds, sun flower seeds etc it has so many good ingridents to make your body healthy. With goodness of rich ingridents it's good in taste too."
Aruna Kumar,17,July,2019,July 2019,5,Yummy😋,It's yummy. Loved it. Complete diet. Full of mixed tasty dry fruits and seeds. Essential for fitness freaks
kohsheen,17,July,2019,July 2019,5,Worth it,Delicious
rima,17,July,2019,July 2019,5,Just wow !!! Super delicious,I have tried many types of muselis but this one is the best so far. Right mix of ingredients with freshness and taste. Liked it so much can survive whole day on this museli. Me and my son eat it everyday. And m happy that now we can get it in super market as well. Thanks to the manufacturer. First time giving 5 starts to purchases made.
suvidha,18,July,2019,July 2019,5,Tastes very fresh much better than Kellogg's fruit and nut,Tastes very fresh much better than Kellogg's fruit and nut
Kitabo Ghanghas ( Kiran Shopaholic ),18,July,2019,July 2019,5,Tasty Muesli,"It's delicious. Cranberry and apricot adds taste and health. Grains like oats, quinoa and seeds like flax, chia makes it a healthy treat. I am having it daily in breakfast and enjoying it."
Spartacus,19,July,2019,July 2019,1,Sugar,Bad taste
Kumar Wadhwani,19,July,2019,July 2019,5,Nice flavour .worth buying . Everyone should buy this item.,The Yogabar wholegrain was good in flavour.it was nice product .we liked it so much that we bought 4 packets of this product .it was to drink it with milk
Karan S,19,July,2019,July 2019,5,Best for breakfast,"Best for breakfast, good in taste it helps to make morning healthier,well packed, value for money Product"
Debarati Gangopadhyay,19,July,2019,July 2019,5,Nice and very smooth,A little bit expensive
Amazon Customer,19,July,2019,July 2019,5,Ok,Good product
SM,19,July,2019,July 2019,5,Good,Good flavour and value of the money
Dhruti C.,19,July,2019,July 2019,4,Good quality product,Healthy and tasty snack!
Maulik,20,July,2019,July 2019,2,Kellogs is better,"Only rice flakes, non existent nuts ....its almost like eating granola bar....kellogs muesli is far superior in taste and quality. Only seeds are differentiators."
Jack,20,July,2019,July 2019,5,Very good product.,Very good product its good for weight management and has good mix of ingredients.
Mahesh Gupta,20,July,2019,July 2019,5,Great product to start a day,Great product to start a day
Gagan Deep,20,July,2019,July 2019,5,Good choice for your family,Taste is great
Shu Y.,21,July,2019,July 2019,5,👏love it,A very amazing product ....taste super good and healthy and totally worth the cash
Tangled,23,July,2019,July 2019,5,nice,awesome
Nawab,24,July,2019,July 2019,5,Simply awesome .......,I like it's quality ......
Amazon Customer,25,July,2019,July 2019,5,Nice product,"Tasty & yummy , one can go for it"
Prateek Raut,25,July,2019,July 2019,5,Fitness snack...,"The is the best and perfect breakfast cereal ever made. Thanks to Yoga Bar. Must have for all you won't regret, a treat for fitness freaks.

Prateek Raut."
Harsh,25,July,2019,July 2019,5,Great Taste and value for money !!,Loved the taste ! It is very filling. It tastes good with Milk or you also try with yogurt and fruits.
Rose,26,July,2019,July 2019,5,Great taste,This is sooo good. I am not a fan of packaged breakfast items. But this tastes so good. My toddler too liked it. I have no complaints.there are enough nuts and berries In it. I used it with little milk. Can use few drops of honey if required. But I didn't. It tasted great on its own.
Mittal,26,July,2019,July 2019,4,A bit on the costlier side but is delicious,"Throw in some milk (I like cold), fresh fruits, nuts and you have a wholesome breakfast"
garments,26,July,2019,July 2019,4,Nice product,Product very nice... tasty... yummy... just i think the quantity was little doubtfull... quality was best
Chaitanya Manchanda,26,July,2019,July 2019,5,Yummy and full of nutritions.,Can only recommend.
Saurabh Behwal,26,July,2019,July 2019,2,Not worth the taste,Quantity is very less and taste not good.
Amnish Behal,26,July,2019,July 2019,5,Loving It - Yoga Bar Muesli,"We really like this breakfast. Loving the delicious taste and the best part is that it contains all healthy ingredients like fruits, chia seed, flex seed, nuts, brown rice & Oats which is high in proteins & fibres. We are fully satisfied with Yogabar Muesli. Excited to try other flavours as well. Paisa Vasool Product."
vineeth r pinglae,27,July,2019,July 2019,4,Purposeful,Good value for money
SHUBHAM SANKHLA,28,July,2019,July 2019,4,Nice,"Nice product, every Indian has to purchase it for their parents. It is little costly."
Amazon Customer,28,July,2019,July 2019,4,Package leaked,Package leaked inside.somebody has knowingly done this
Aaditi S.,29,July,2019,July 2019,4,Yummy yummy breakfast 😋,It's very much yummy and crunchy. It's made my breakfast just awesome 😋 But at such a price the quantity is so low.
Amazon Customer,29,July,2019,July 2019,3,Taste could have been better,The taste could have been better.
Ravi Chandra S,30,July,2019,July 2019,4,Super,Super-- one word
ronald,30,July,2019,July 2019,3,Good but a bit expensive than peers.,"The overall taste and constituents were good but if compared to other brands, a bit on expensive side."
yellow,30,July,2019,July 2019,5,Tastes great with natural ingredients,Tastes great with cold milk and contains natural ingredients
VARUN AGGARWAL,31,July,2019,July 2019,4,Good,Good
MANOJ,1,August,2019,August 2019,4,JUST MORE THAN AVERAGE,"I feel some ingredients are less effective . I do exercises and I feel the product contains more of rice flakes than necessary . The product being muesli should contain more of other things like oats and others , but it contains lots of rice flakes . Product being slightly priced but that one would be more of value for money of it would contain more of other grains and seeds and nuts ."
Shilpa,1,August,2019,August 2019,5,Highly Recommended !!,"Firstly, the product was delivered before the mentioned timeline which was very impressive.
This was my first purchase from Yogabar and i am fully satisfied.One can completely switch to it for breakfast meal since it tastes very good and it's healthy too, keeping you fit and active all day.

Not to forget, the packaging of the product is also very good . Would highly recommend to try this affordable and healthy meal. I will definitely try other flavors / products of Yogabar."
Nick,1,August,2019,August 2019,5,Good,Good
Jane,2,August,2019,August 2019,4,Love this granola,This is probably the best value for gluten free granola cereal I have found in India. Very natural. No additives. Great flavor too.
SHREYA MEHROTRA,3,August,2019,August 2019,5,Value for money,Best breakfast cereal
Rahul Makhasana,3,August,2019,August 2019,5,Good,Good
Priya,3,August,2019,August 2019,4,Awsm,Nothing
BVR,5,August,2019,August 2019,5,Product is good.,Product is good.
Suchi,5,August,2019,August 2019,5,Loving it,"Yummy. I tried 2 variety of yogabar muesli, and both of them are too good."
neha123,6,August,2019,August 2019,5,Too healthy meal to have,"I ordered for my mother in law she found it expensive before ordering but after she received the products she absolutely loved it ,it was full of fruits n nuts wch is actually what is required,worth buying"
K.Nikitha,6,August,2019,August 2019,5,A must try,Awesome product. Quite happy with the taste. No regrets in buying it over other products.
Amazon Customer,7,August,2019,August 2019,5,awesome,Great product
MTR,7,August,2019,August 2019,5,Recommended product!,Recommended product for those who care about their health.
Jayanthi,9,August,2019,August 2019,5,Go for it!,It's value for money... The flavour is excellent... Highly recommended breakfast meal...
Amazon Customer,9,August,2019,August 2019,5,Very gud product,Gud
Pinki singh,9,August,2019,August 2019,5,Very nice kranci osm test,Very nice
MOHAMMAD SAIFULLAH,10,August,2019,August 2019,5,Natural and healthy product,Such an amazing healthy natural product. There are no preservatives or sugar in this and it’s so tasty. Good job yoga bar.
Gopendra,11,August,2019,August 2019,5,healthy,good taste
Krishnendu Mistry,11,August,2019,August 2019,4,Good one,Ok
baljinder kaur,12,August,2019,August 2019,2,Disappointed,"Ibam definitely unsatisfied with this muesli, I have heard a lot about this brand but it turned out to be a big time dissapointment. Wouldn't recommend to anyone. Taste was weird as the quantity of oats was not even 20% of whole ingredients."
deepak kumar singh,12,August,2019,August 2019,5,complete balanced diet,"This muesli is great combination of , almonds, berries, flax seeds, pumpkin seeds. It is tasty and highly nutritious. Must buy."
Jyoti Singh,12,August,2019,August 2019,5,Nice,Good
rahul,12,August,2019,August 2019,5,Good product,No sugar. Best part
P. Dutt,12,August,2019,August 2019,5,Excellent,"A new product. Liked the flavour so much. It contains oats,brown rice flakes, dried cranberries, pumpkin seeds,chia seeds etc."
kush,13,August,2019,August 2019,1,review,worst product ever i got till date..got stone inside pacakge and it calcicum carbonate lead type..dont bought this product even a single penny not worth.
priya vijayvargiya,13,August,2019,August 2019,5,Nice product,"Great taste and flavor.., but little less in quantity."
Priyankar,14,August,2019,August 2019,4,Great food for breakfast.,The product is very good.It is a wholesome food for breakfast.Satisfied with the quality of the product.
Amazon Customer,14,August,2019,August 2019,4,Good product,Good in taste... But very few amount of dried fruits...
Aryan Dev,14,August,2019,August 2019,5,😀,Nice product everyone can use
Suresh,14,August,2019,August 2019,4,Good,Good
Masih,16,August,2019,August 2019,5,Highly recommended Product!,"Good Product! At Very Reasonable rate! With the healthy Food!
Morning breakfast is now easy with this delicious crunchy muesli. Me being a fruits and nuts lover, loved it and it has all berries which gives awesome taste. All healthy ingredients like oats, brown rice flakes, raisins, cranberries, apricots. Black currants ,quinoa, pumpkin, chia and flax seeds, this is a combined mixture of all healthy foods. Just 200 calories and I am sorted in morning. Tastes best with cold milk. Even it makes a great dry snacking option anytime during the day. Perfect when you are on balanced diet and will recommend you all to give it a try to loose weight!
PLease go ahead without a second thought."
Yogi,16,August,2019,August 2019,5,Excellent!,Best combination of ingredients lovely test and best for breakfast.
John,16,August,2019,August 2019,4,BEST,Yummy breakfast...go for it👍
Maitreyee,16,August,2019,August 2019,5,Best Muesli,Love it
Deepak maharana,16,August,2019,August 2019,2,Can a diabetic patient or 5 year child consume this product,Can a diabetic patient and a 5 year child consume this product
Ravi D,17,August,2019,August 2019,2,avarge,happy to use these product
Sanju,19,August,2019,August 2019,5,Amazing product and worthy.. Loved it,"Amazing product, this is my 4th order upto now. Thq yoga bar.."
Sneha ghosh,19,August,2019,August 2019,4,👍,It's good in all way
Mahir I.U.,20,August,2019,August 2019,4,Good,"Received the product safely without damage. Product was fresh according to pkd date. I use it to slightly flavor my oatmeal in morning as it contains sugar in indirect forms like date oil, rice barn oil. So weight loss targeting people must limit this as it'll definitely spike insulin. Keep your sugar intake within 30g/day. Press the helpful button."
Varsha,20,August,2019,August 2019,5,Awesome!!,Best buy on Amazon. .a great product to Kickstart my mornings . .anytime snack. .with all the necessary seeds and nuts a great combination. .not a boring museli can have it with milk and a dash of Greek yogurt with some fresh chopped fruits . And your yummy brekkie is ready!
alby alex george,20,August,2019,August 2019,5,Daily b/f alternative,"Quiet good and tasty breakfast meal.
I'm not Dr. To speak about the health consciousness. But it's a good alternative b/f."
Saloni verma,20,August,2019,August 2019,5,"Test good,","Nice product, good for health,"
Swatantra kumar,20,August,2019,August 2019,5,Best cereal with zero Processed Sugar,This is something I really wanted well packed and not expired.
Aditya kumar Singh,21,August,2019,August 2019,4,Good taste,it has great taste
Sachin,22,August,2019,August 2019,5,Everyone in my family loves it,"This is the best muesli you can get in India, I have tried various brands. This is the only one which my whole family liked."
M.Ashraf Khan,22,August,2019,August 2019,4,good combination and taste,good product
aritreyee datta,23,August,2019,August 2019,5,A wholesome and healthy gluten free breakfast option,"It's a very good option for the calorie and health conscious and gluten sensitive individuals. It has rolled oat, rice flakes, dried fruit pieces, raisins, dried cranberries, chia seeds and flax seed. It's mildly sweet in taste ( just the right amount), crunchy and good to go with cold milk or curd. I also munch on it as an evening snack though! A wholesome breakfast option. Keeps you feeling full for a long time. My personal favourite!!"
gsmarts,23,August,2019,August 2019,5,healthy food really,Nice
Neha Sharma,23,August,2019,August 2019,1,Bad test,Not fresh in test
rohit,23,August,2019,August 2019,5,Quick and Healthy breakfast,This is second flavour i am trying and i am really impressed by the taste and quality of museli...feels really tasty and healthy with all cereals and fruits...there is abundant dry fruit content...more than really i expected... really a good product for a quick and healthy breakfast or snack.
Diksha Varshney,24,August,2019,August 2019,5,Good product.,Very healthy and Good product. Much better than other similar products in the market. I’m hopeful that no artificial agent is added Yogabar please be responsible and make healthy products for generations to come.thank you.
Sanjeev Suri,24,August,2019,August 2019,5,Tasty and healthy,For morning breakfast its good..
The True Reviewer,25,August,2019,August 2019,1,not healthy but full of fake candies,not healthy but full of fake candies
sunita ghosh,25,August,2019,August 2019,5,Healthy option,This product has the right balance of seeds and dried fruits.
Niket Honnalli,25,August,2019,August 2019,5,Good breakfast replacement,Very good breakfast replacement and easy to make.
shikha,26,August,2019,August 2019,4,Best option among available miseli in market,Healthier as contain oats and brown rice and seeds.
Joshua,26,August,2019,August 2019,5,Thanks,Good
Amazon Customer,27,August,2019,August 2019,5,Good,Fresh and healthy
Bratati,27,August,2019,August 2019,5,Love this Muesli,It's full of seeds.. dry fruits. It's a healthy food.
Amazon Customer,29,August,2019,August 2019,1,Chia and flax seeds burnt... awful and no return,"I am a huge fan of yoga bear whole grain until i have received a package from Amazon, the flax seeds and the chia seeds are burnt, the pumpkin seeds and the oats are roasted more than required, they have become brown, the entire taste of the muesli has changed, the sweetness of the berries has become less, the amount of raisins have gone down, the size of the flat brown rice has become small I seriously don't understand how can a reputed and highly sold muesli not have consistency maintained. Very disappointed, now scared to order online as there is no return."
A K,29,August,2019,August 2019,5,Amazing,This is very good for breakfast. Tastes really good.
Dali,30,August,2019,August 2019,5,Really good.,Good for health.
prabhat das,31,August,2019,August 2019,5,Great product,"Great product,,,, fully satisfied,,,,,
And got it within 48hr ,,,,"
Prakash Nema,1,September,2019,September 2019,5,Perfect breakfast,Healthy and contains no added sugars. Perfect for weight watchers.
Sanjib G.,1,September,2019,September 2019,3,Never judge a product from its description.,Not up to expectations. Still a good product.
Rahul Sharma,2,September,2019,September 2019,3,10-Apr,"Tried it for the first time today
Feeling disappointed
Have everything they said but still didn’t like it"
Bharathi G,2,September,2019,September 2019,5,Good,Can go for it....good one
Mamoni talukdar,5,September,2019,September 2019,5,Best breakfast option,I love it and would love to continue it changeing with regular breakfast .i have only complain with amzone why did u dnt deliver the package prpoerly
GJM,5,September,2019,September 2019,4,Good,"Flavour.... Good
Presentation.... Good
V. for Money... Price bit on the high side, compared to other popular brands."
Anushka Sharma,5,September,2019,September 2019,5,Awesome,Good try
Vidya Seenivasagan,5,September,2019,September 2019,4,Healthy diet.!!,Nice healthy one.Taste should be improved
Mohit Patel,5,September,2019,September 2019,5,Good taste,Thank you yoga bar for this amazing musli
ganesh,6,September,2019,September 2019,1,"Its gone bad , dry fruits in it got bad and have some bugs attached to them",The worst dry fruits have gone bad and have lot of bugs or insects i dont know so disappointing.
Amazon Customer,6,September,2019,September 2019,5,Great taste. Value for money.,"This is the best muesli you can find in the market, and believe me, I tried many. Not sticky, very little sweetener in it, no sugar, no gluten... and tastes great.
I don't like though that the product comes inside a big cardboard box. They could sell only with the bag and save lots of trees. It also takes too much space so I always throw the box and keep the muesli in the resealable bag."
M. Viji,6,September,2019,September 2019,4,Good,Good
Bagrrys India Limited,6,September,2019,September 2019,5,GOOD,GOOD
Honey,6,September,2019,September 2019,5,Good,Healthy and lit breakfast for morning enjoying the breakfast
Lavesh Dixit,7,September,2019,September 2019,5,superb,awesome in taste... must try at least ones
tabish ahmed,8,September,2019,September 2019,5,Great product,Slightly pricey but the taste is insanely good. Found it to better than most breakfast cereals.
HHR,10,September,2019,September 2019,5,Good healthy snack for a change,"Healthy morning breakfast. good ingredients can be taken any time you feel hungry, better than having junk."
Pavan K.,10,September,2019,September 2019,3,just okay,"it is just okay, just another of these with high price tag and nothing great inside.."
Anita,10,September,2019,September 2019,5,Yogabar wholegrain .....,I love this product because it contains many things
Jubair Alam Sarkar,10,September,2019,September 2019,5,Tasty food for healthy tummy,Very good taste and with full of healthy ingredients. Love it
Altab ali,13,September,2019,September 2019,4,Good test,God
M Grover,16,September,2019,September 2019,4,Yummy healthy snack,It’s really yummy & healthy with bits of cranberry & dried fruits in it. Tastes yummy & no sugar added I think. It tastes natural with bits of natural dried sweet fruits. Love it.
priyu,16,September,2019,September 2019,3,Good,Okay
ASOKAN G,17,September,2019,September 2019,5,good,very crispy snacks
Bobby Singh,17,September,2019,September 2019,5,Tasty,Its super tasty and yummy 😋😋😋😋
Renuka,18,September,2019,September 2019,5,Tastiet healthy breakfast substitute,Superrrr dupper taste... I ordered it for a try and I think m not going to Change it.... Ordering a big packet..... It's really yumm... Please try have all the nuts ND seeds awsmmm loved it
Christeena,18,September,2019,September 2019,3,Nice,I liked chocolate one it was just okay okay
Hasita,19,September,2019,September 2019,5,Bestest of the best,The Best muesli you can ever have!! It tastes yumm.. And you can stop falling in love with that flavor of cranberries and nuts... The proportion of nuts:oats was perfectly balanced and it would be a great start for your day
Sujeet,20,September,2019,September 2019,5,One of the best,"The quality and quantity at this price is unmatchable, compaire to well established brands of Museli.
This is our second order and we are very satisfied with the product"
amanpreet,21,September,2019,September 2019,2,"Too sweet, that ruins the taste",Bought this product after great reviews. But I did not like it much. It has a weird sweetness that ruins the whole taste. Maybe it's from berries. Rest the ingredients are a good mix. Can try if you don't mind your museli to be sweet.
ALFIN DAVIS,21,September,2019,September 2019,4,Too much smell of strawberry...otherwise okay.,The dried strawberry tasted nasty.Also there was too much strawberry smell in the pack.I think they have added artifical strawberry flavour.
Suresh P.,21,September,2019,September 2019,1,Gives rashes and boils in body,My sister bouGht this it doesn't delivered with the box after eating this she got rashes and boils in her body don't buy this product
Tushar Poojari,22,September,2019,September 2019,5,#1. YUMMY AND HEALTHY,"This is really the best muesli to have with good chunks of nuts, seeds, and dry fruits making it absolutely delicious along with oats and wheat.

So, it's must try for a high fibre and protein intake diet"
Mubarak,22,September,2019,September 2019,5,I recommend it,"Very good item, I like it"
Amazon Customer,22,September,2019,September 2019,5,Yogabar is for all.,Product is awesome tasty and palatable.
Siddharth,24,September,2019,September 2019,1,Cheating customers,"Quality of product has deteriorated badly. The two boxes I purchased got ""burnt grains"". Also some of the seeds float when milk is put, meaning the company is now using expired items. Even the rasins are put like lump of balls...
Only thing that is good is the packing... not the actual product.
Anyway, this company planned that they will initially gain customer confidence, get good rating and later give 3rd class product.
Very disappointing..."
Amazon Customer,24,September,2019,September 2019,5,Yummy 😋,"Product is superb, but price is little high.. Flavor 👍💯"
Samrat,25,September,2019,September 2019,1,Bad Smell,Very bad taste and smell.
Nilu mishra,25,September,2019,September 2019,5,Yummy,This muesli taste even better then few mueslis of Switzerland
Carl Mistry,26,September,2019,September 2019,5,Try it,Absolutely rocking
Sakshi verma,27,September,2019,September 2019,5,Super tasty and healthy.,"This is the first time I had muesli and I am in love with it. It's very healthy and tastes amazing, no need to add extra sugar in the milk. The fruits in it tastes amazing. It keeps me full for a long time. It's a perfect breakfast and super healthy."
Amazon Customer,28,September,2019,September 2019,5,But satisfied,Product changed
muskan garg,28,September,2019,September 2019,5,LOVED IT!!!,"This is my first ever trying a healthy product such as muesli and I'm shook!!! The taste is amazing. I love the mixture as it contains a variety of seeds, nuts and dried fruits 😌
I've heard a lot about flax and chia seeds, can definitely see why! I've switched my breakfast with this muesli and this is probably the best decision I've taken for my body in a while. 🙌🏼
I like to have it with honey, fresh berries or bananas and some milk!!! It's quite fulfilling and provides the right amount of energy to Kickstart my day. 🙌🏼😌
Yoga bar muesli has changed the game for me, can't wait to try other flavours!! 😋😋😋"
Wafa,29,September,2019,September 2019,5,Tasty and healthy,"I used to be always in hurry in morning and skip my breakfast. It's healthier than cornflakes, no need of cooking and tastes better than other museli available in market."
Bhavleen s.,30,September,2019,September 2019,3,Boxes were all torn up, The box was all torn up and I'm afraid it would be all mashed up inside ingredients
Avinash,30,September,2019,September 2019,5,Right combination of ingredients and healthy too!,Its a perfect combination for all those who dislike the bland oatmeal diet..
Arihant Pandey,30,September,2019,September 2019,5,Crunchy Munchy and tasty,"Got it a few days back and I was surprised with the taste and texture of the product. It's way better than any other brand. I could literally see the ingredients like strawberry, raisins etc. I could feel the crunchiness of the nuts and other items in the Muesli. Strawberry tastes awesome with milk and drops of honey."
Kindle Customer,1,October,2019,October 2019,5,Good purchase,Definitely a good buy.
lata,1,October,2019,October 2019,4,Yoga musseli healthy prodct,Healthy nd worthy prodct
Rahul,2,October,2019,October 2019,5,Healthy breakfast 👌,"Good content, has many seeds and full of nutritional values. Also good value for money. But taste is ok but that's always the case with healthy items 😉😋"
shobhit,2,October,2019,October 2019,5,Yogabar wholegrain breakfast,This is very tasty. Very good product and better than other brand. Quality is geninune..recommended
MURALI,2,October,2019,October 2019,5,quality,"yoga bar fruits +nuts & seeds is a yummy, tasty and nutritious breakfast to the whole family. its flavor is superb, which is high in protein and fibre. it is good combination healthy and energetic whole grains in it.
its value for money.... i would recomand to buy without second thought."
Reetu,3,October,2019,October 2019,5,Breakfast sorted,If you like slightly tangy and sweet bits of fruits in your breakfast cereals this one is definitely for you. Though I like the chocolate flavor more than this one but it's actually better in terms of the ingredients and their health benefits. It has pieces of dried fruits making it a healthy breakfast option. I think this would make a delicious topping on yogurt.
Swastika nagpal,3,October,2019,October 2019,5,Must give it a try,"I really want to applaud the ppl at yogabar who come up with such great combinations, the perfect taste, they have mastered the art of what will taste the best with what. I’m so happy with all the ingredients and how they complement each other and taste great with milk/yoghurt! Best buy!"
deepz,4,October,2019,October 2019,5,Good product,Good
Ayushi Yadav,5,October,2019,October 2019,5,Healthy breakfast,"An amazing product to start your day.
Healthy and nutritious breakfast for the day.
I have always loved muesli and i have tried a lot of flavors and this one is one of the best👌🏻 A must buy product."
Amazon Customer,5,October,2019,October 2019,4,Yummy breakfast option,Proper mix of ingredients. Delicious with warm milk - crunchy & full of flavour.
NIKZ,5,October,2019,October 2019,5,Worth buying😍m in love with dis,Awsum product....tasty and value for money....never tasted cereals like this
Aeman Singh,5,October,2019,October 2019,1,Not good,"Very bad quality and also packing not good,"
Amazon Customer,5,October,2019,October 2019,5,Like it,Good one
Naveen G.,5,October,2019,October 2019,4,Well price pack,Well price pack
Amazon Customer,5,October,2019,October 2019,5,Food of the gods!,"Not to be dramatic but yeah, this smells and tastes nothing short of heavenly🧡🌷✨"
Navdeep vats,5,October,2019,October 2019,5,Awesome !!,"Absolutely loved this and a big thanks to yogabar for giving such wholegrain breakfast muesli, fruits and nuts mixed. Being a gym freak it is a perfect Meal Replacement for me as it is high in protein and fibres ,I am fully satisfied with my purchase and recommend it to all the gym freaks.."
Zuhair,6,October,2019,October 2019,4,Best Muesli for me,Go for it
Abilash,6,October,2019,October 2019,2,Not satisfactory,Taste and flavour
Akash deoriya,6,October,2019,October 2019,4,Good,Good
Rahul,6,October,2019,October 2019,5,Good,Nyc and healthy
Devesh Bapna,6,October,2019,October 2019,5,Great taste and good for health.,"Tastes fresh, natural, no added syrupy sugar
Contains all necessary ingredients especially for a great breakfast(most important meal of the day)
raisins, dates, oats, various type of seeds etc. makes the meal more rich fiber and delicious
scent-flavors, it's just awesome, just after opening the packet you will be in love with these muesli's
-available at pocket-friendly pricing.

Very good as they don't contain any sugar."
DevaN NarayaNaN,7,October,2019,October 2019,4,Value for money,Value for money related to market. If price hike happens better available
Sunita,7,October,2019,October 2019,5,Worth it!!,Definitely buying it again.. lots of seeds and berries in it.. liked the taste. .
Amazon Customer,7,October,2019,October 2019,4,Good,"Product is very good, but price is little higher than other products"
Amazon Customer,7,October,2019,October 2019,5,Awesome,Nice
A. Manoj Kumar,7,October,2019,October 2019,5,Great product,Good product..worth buying
Mohit,7,October,2019,October 2019,5,Lovely day start,First time eaten... good test
Shadab Khan,8,October,2019,October 2019,5,Nice one.,Very good taste.
honey gupta,8,October,2019,October 2019,4,👍,Tasty
Shivam,8,October,2019,October 2019,5,Good,Nice taste
Amazon Customer,8,October,2019,October 2019,5,Nice product.,The product is as expected.
S.Chowdhury,9,October,2019,October 2019,1,"Very sweettaste,and untolerable synthetic smell.",I am finding someone to help me to finish the packet. This might have corn syrup mixed. extremely sweet by taste and a scent. Its really hard to finish the packet by me.
Krish,9,October,2019,October 2019,2,Not up to the mark,"Not up to the mark, it taste like normal flakes nothing special"
Vamshi,9,October,2019,October 2019,5,Good,Good
JiA,10,October,2019,October 2019,5,Very good cereal,Healthy and tasty cereal
Jencia Paul,10,October,2019,October 2019,5,Healthy,Good one
Amazon Customer,10,October,2019,October 2019,5,Superb,Healthy plus tasty worth it
Arzhan,10,October,2019,October 2019,5,Good,Nice
Ansh,10,October,2019,October 2019,5,Tasty!!!,Good at taste.
Divi Divine,11,October,2019,October 2019,5,Good and worth the money 👍 ❤️,"Received the product on time thanks Amazon 😘
The packaging was good and no spillage at all 😁
Abt the product =it is superb and delicious..This is my third order of yogabar muesli.. Its is full of seeds, flax, dry fruits..So tempting that i consume it raw without adding milk 😂😂..
Good for weightloss..Good for breakfast..
Shall be recommended 👌👌..
P.s. The pic in the attachment 👆👆"
XYZ,11,October,2019,October 2019,1,Bad,Dey v smelling v bad
Vivanika,11,October,2019,October 2019,2,Nice,Not so tasty but is healthy offcourse
Amazon Customer,11,October,2019,October 2019,5,Good,Very good. Value for money
Shoppie,13,October,2019,October 2019,4,Healthy👍,"I ordered fruit, nut & seed, got chocolate flavor instead. Like that too , so not complaining much. But avoidable mistake. And the order came quick in 2 days, Thanks for the effort."
Raksha,15,October,2019,October 2019,5,Healthy and tastes great,It’s yummy my kids enjoy it.
Sudipa,15,October,2019,October 2019,5,Great cereal,Good cereal along with lots of seeds
Abhishek singh,16,October,2019,October 2019,5,Amazing taste,Wonderful
drrajeshtr,17,October,2019,October 2019,5,Tasty healthy treat,Tasty. Healthy. Children love chocolate flavour.
Mehvish,18,October,2019,October 2019,1,Shocking,"Terrible product. The flaxseeds taste burnt and ruins the whole flavour. Can't believe I haven't read a review which covers this point.

Are all the reviews I read, paid reviews?"
Ankit laxmikant Solanki,18,October,2019,October 2019,5,Best ever muesli..,😋😋😋This muesli is best in class and quality...1st time I had this kind of muesli...I m loving it..😋😋😋😛😛
Verified Customer,18,October,2019,October 2019,5,Best,It is best among all ...that's it. Hope in future they will maintain quality
AHMED ADEEL,18,October,2019,October 2019,4,Purchased at 195 /- value for money. 250 is high.,"Purchased at 195 /- value for money.
250 is high."
Watts dee,18,October,2019,October 2019,5,Yummy 😋,"So tasty, super healthy!!"
